//==============================================================================
//Monster Kanturu Set Base [KOR]
//#www.titanstech.com
//------------------------------------------------------------------------------
//Revision 05 Feb, 2011
//==============================================================================
// Group Type	Map  Distance	X	Y	Dir
//////////////////////////////////////////////////////
0
 0	364	39	30	188	110	-1
 0	354	39	30	176	66	-1
 0	354	39	30	176	69	-1
 0	354	39	30	176	72	-1
 0	354	39	30	179	67	-1
 0	354	39	30	179	71	-1
 0	354	39	30	211	65	-1
 0	354	39	30	211	68	-1
 0	354	39	30	211	71	-1
 0	354	39	30	213	67	-1
 0	354	39	30	213	70	-1
 0	354	39	30	196	73	-1
 0	354	39	30	199	73	-1
 0	354	39	30	202	73	-1
 0	354	39	30	190	72	-1
 0	354	39	30	187	72	-1
 0	354	39	30	203	68	-1
 0	354	39	30	200	84	-1
 0	354	39	30	203	84	-1
 0	354	39	30	181	81	-1
 0	354	39	30	184	81	-1
 0	354	39	30	191	60	-1
 0	354	39	30	179	79	-1
 0	354	39	30	182	79	-1
 0	354	39	30	185	79	-1
 0	354	39	30	199	81	-1
 0	354	39	30	202	81	-1
 0	354	39	30	196	84	-1
 0	354	39	30	196	60	-1
 0	354	39	30	186	60	-1
 0	354	39	30	191	67	-1
 0	360	39	30	177	60	-1
 0	360	39	30	177	60	-1
 0	360	39	30	193	83	-1
 0	360	39	30	191	83	-1
 0	360	39	30	207	86	-1
 0	360	39	30	214	78	-1
 0	360	39	30	209	59	-1
 0	360	39	30	193	67	-1
 0	360	39	30	189	67	-1
 0	360	39	30	189	83	-1
end

// Group Type	Map  Distance	X	Y	Dir
//////////////////////////////////////////////////////
0
 1	364	39	30	188	110	-1
 1	359	39	30	178	60	-1
 1	359	39	30	178	64	-1
 1	359	39	30	177	80	-1
 1	359	39	30	179	83	-1
 1	359	39	30	179	83	-1
 1	359	39	30	179	83	-1
 1	359	39	30	214	78	-1
 1	359	39	30	214	75	-1
 1	359	39	30	213	65	-1
 1	359	39	30	210	62	-1
 1	359	39	30	187	72	-1
 1	359	39	30	195	72	-1
 1	360	39	30	176	72	-1
 1	360	39	30	189	84	-1
 1	360	39	30	197	84	-1
 1	360	39	30	192	81	-1
 1	360	39	30	213	70	-1
 1	360	39	30	203	72	-1
 1	360	39	30	192	58	-1
 1	360	39	30	200	58	-1
end

// Group Type	Map  Distance	X	Y	Dir
//////////////////////////////////////////////////////
0
// 2	361	39	30	78	137	-1
 2	360	39	30	78	115	-1
 2	360	39	30	80	100	-1
 2	360	39	30	79	127	-1
 2	360	39	30	81	127	-1
 2	358	39	30	76	136	-1
 2	358	39	30	80	136	-1
 2	358	39	30	86	127	-1
 2	358	39	30	87	114	-1
 2	357	39	30	78	98	-1
 2	357	39	30	84	99	-1
 2	357	39	30	75	111	-1
 2	357	39	30	78	111	-1
 2	357	39	30	81	111	-1
 2	357	39	30	84	111	-1
 2	357	39	30	79	122	-1
end

// Group Type	Map  Distance	X	Y	Dir
//////////////////////////////////////////////////////
0
// 3	362	39	30	202	83	-1
   3	364	39	30	188	110	-1

// 4	363	39	30	189	82	-1
   4	364	39	30	188	110	-1

// 5	362	39	30	202	83	-1
// 5	363	39	30	189	82	-1
   5	364	39	30	188	110	-1
end

// Group Type	Map  Distance	X	Y	Dir
//////////////////////////////////////////////////////
0
 6	360	39	30	75	111	-1
 6	360	39	30	82	111	-1
 6	360	39	30	79	115	-1
 6	360	39	30	77	133	-1
 6	360	39	30	81	133	-1
 6	360	39	30	79	128	-1
 6	360	39	30	77	121	-1
end
