//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//Dark Side Gaming Moss Shop File
//www.titanstech.com
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//by DaRKav
//Revision: August 11, 2011
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//Luck Property:	Set luck value in percent from 0 to 100
//Skill Property:	Set skill value in percent from 0 to 100
//Z28 Property:		A random value up to set value (Ex: 4 = up to +16 on item)
//Excellent Options:	1  = Increase Zen Rate [Def]	| Increase Mana After Hunt [Atk]
//			2  = Defense Success Rate [Def]	| Increase Life After Hunt [Atk]
//			4  = Reflect Damage [Def]	| Increase Attack Speed [Atk]
//			8  = Damage Decrease [Def]	| Increase Damage % [Atk]
//			16 = Increase Max Mana [Def]	| Increase Damage Level [Atk]
//			32 = Increase Max HP [Def]	| Excellent Damage Rate [Atk]
//Random Excellent:	Number of random options + 200 (Ex: up to 5 ranodom opts = 205)
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	Sword/Mace/Spear
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//ID	Item	Level	Dur	Skill	Luck	Z28	Exc

0
3	5	4	0	0	5	0	1
3	2	4	0	0	5	0	1
3	6	4	0	0	5	0	1
3	1	4	0	0	5	0	1
3	7	4	0	0	5	0	1

3	5	4	0	0	5	0	2
3	2	4	0	0	5	0	2
3	6	4	0	0	5	0	2
3	1	4	0	0	5	0	2
3	7	4	0	0	5	0	2

3	5	4	0	0	5	0	4
3	2	4	0	0	5	0	4
3	6	4	0	0	5	0	4
3	1	4	0	0	5	0	4
3	7	4	0	0	5	0	4

3	5	4	0	0	5	0	8
3	2	4	0	0	5	0	8
3	6	4	0	0	5	0	8
3	1	4	0	0	5	0	8
3	7	4	0	0	5	0	8

3	5	4	0	0	5	0	16
3	2	4	0	0	5	0	16
3	6	4	0	0	5	0	16
3	1	4	0	0	5	0	16
3	7	4	0	0	5	0	16

3	5	4	0	0	5	0	32
3	2	4	0	0	5	0	32
3	6	4	0	0	5	0	32
3	1	4	0	0	5	0	32
3	7	4	0	0	5	0	32
end

//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// 		Staffs													//
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

1
5	11	4	0	0	5	0	1
5	5	4	0	0	5	0	1
5	9	4	0	0	5	0	1
5	10	4	0	0	5	0	1
5	12	4	0	0	5	0	1

5	11	4	0	0	5	0	2
5	5	4	0	0	5	0	2
5	9	4	0	0	5	0	2
5	10	4	0	0	5	0	2
5	12	4	0	0	5	0	2

5	11	4	0	0	5	0	4
5	5	4	0	0	5	0	4
5	9	4	0	0	5	0	4
5	10	4	0	0	5	0	4
5	12	4	0	0	5	0	4

5	11	4	0	0	5	0	8
5	5	4	0	0	5	0	8
5	9	4	0	0	5	0	8
5	10	4	0	0	5	0	8
5	12	4	0	0	5	0	8

5	11	4	0	0	5	0	16
5	5	4	0	0	5	0	16
5	9	4	0	0	5	0	16
5	10	4	0	0	5	0	16
5	12	4	0	0	5	0	16

5	11	4	0	0	5	0	32
5	5	4	0	0	5	0	32
5	9	4	0	0	5	0	32
5	10	4	0	0	5	0	32
5	12	4	0	0	5	0	32
end

//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// 		Bows/Crossbows												//
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

2
4	2	4	0	0	5	0	1
4	13	4	0	0	5	0	1
4	18	4	0	0	5	0	1
4	8	4	0	0	5	0	1
4	24	4	0	0	5	0	1

4	2	4	0	0	5	0	2
4	13	4	0	0	5	0	2
4	18	4	0	0	5	0	2
4	8	4	0	0	5	0	2
4	24	4	0	0	5	0	2

4	2	4	0	0	5	0	4
4	13	4	0	0	5	0	4
4	18	4	0	0	5	0	4
4	8	4	0	0	5	0	4
4	24	4	0	0	5	0	4

4	2	4	0	0	5	0	8
4	13	4	0	0	5	0	8
4	18	4	0	0	5	0	8
4	8	4	0	0	5	0	8
4	24	4	0	0	5	0	8

4	2	4	0	0	5	0	16
4	13	4	0	0	5	0	16
4	18	4	0	0	5	0	16
4	8	4	0	0	5	0	16
4	24	4	0	0	5	0	16

4	2	4	0	0	5	0	32
4	13	4	0	0	5	0	32
4	18	4	0	0	5	0	32
4	8	4	0	0	5	0	32
4	24	4	0	0	5	0	32
end

//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// 		Scepters												//
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

3
2	13	4	0	0	5	0	1
2	18	4	0	0	5	0	1
2	16	4	0	0	5	0	1
2	11	4	0	0	5	0	1
2	8	4	0	0	5	0	1

2	13	4	0	0	5	0	2
2	18	4	0	0	5	0	2
2	16	4	0	0	5	0	2
2	11	4	0	0	5	0	2
2	8	4	0	0	5	0	2

2	13	4	0	0	5	0	4
2	18	4	0	0	5	0	4
2	16	4	0	0	5	0	4
2	11	4	0	0	5	0	4
2	8	4	0	0	5	0	4

2	13	4	0	0	5	0	8
2	18	4	0	0	5	0	8
2	16	4	0	0	5	0	8
2	11	4	0	0	5	0	8
2	8	4	0	0	5	0	8

2	13	4	0	0	5	0	16
2	18	4	0	0	5	0	16
2	16	4	0	0	5	0	16
2	11	4	0	0	5	0	16
2	8	4	0	0	5	0	16

2	13	4	0	0	5	0	32
2	18	4	0	0	5	0	32
2	16	4	0	0	5	0	32
2	11	4	0	0	5	0	32
2	8	4	0	0	5	0	32
end

//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// 		Sticks													//
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

4
5	15	4	0	0	5	0	1
5	20	4	0	0	5	0	1
5	34	4	0	0	5	0	1
5	20	4	0	0	5	0	1
5	18	4	0	0	5	0	1

5	15	4	0	0	5	0	2
5	20	4	0	0	5	0	2
5	34	4	0	0	5	0	2
5	20	4	0	0	5	0	2
5	18	4	0	0	5	0	2

5	15	4	0	0	5	0	4
5	20	4	0	0	5	0	4
5	34	4	0	0	5	0	4
5	20	4	0	0	5	0	4
5	18	4	0	0	5	0	4

5	15	4	0	0	5	0	8
5	20	4	0	0	5	0	8
5	34	4	0	0	5	0	8
5	20	4	0	0	5	0	8
5	18	4	0	0	5	0	8

5	15	4	0	0	5	0	16
5	20	4	0	0	5	0	16
5	34	4	0	0	5	0	16
5	20	4	0	0	5	0	16
5	18	4	0	0	5	0	16

5	15	4	0	0	5	0	32
5	20	4	0	0	5	0	32
5	34	4	0	0	5	0	32
5	20	4	0	0	5	0	32
5	18	4	0	0	5	0	32
end
